"n","name"
"-1.00000000000000000000","Wooden Box Set"
"0.00000000000000000000","Mindstorms"
"0.00000000000000000000","Train"
"0.00000000000000000000","Samsonite"
"0.18181818181818181818","Key Chain"
"1.00000000000000000000","Technic"
"1.00000000000000000000","Imperial Guards"
"1.8000000000000000","Supplemental"
"1.8823529411764706","Power Functions"
"2.0000000000000000","Control Lab"
"2.4000000000000000","Classic Town"
"2.5000000000000000","Star Wars"
"3.0000000000000000","Planet Series 1"
"3.0000000000000000","Western"
"3.0000000000000000","Adventurers"
"3.1666666666666667","Value Packs"
"3.5000000000000000","Minifig Pack"
"3.5753424657534247","Train"
"4.0000000000000000","4 Juniors"
"4.0000000000000000","Indiana Jones"
"4.0000000000000000","Dinosaurs"
"5.0000000000000000","Clikits"
"5.3684210526315789","Series 14 Minifigures"
"5.5000000000000000","The Hobbit"
"5.6470588235294118","DFB Minifigures"
"6.0000000000000000","Food & Drink"
"6.1666666666666667","Pirates"
"6.2222222222222222","Disney"
"6.3684210526315789","Series 15 Minifigures"
"7.1458333333333333","Castle"
"7.1764705882352941","Series 16 Minifigures"
"7.3333333333333333","Post Office"
"8.0000000000000000","Tohunga"
"8.5000000000000000","9V"
"8.5000000000000000","Food & Drink"
"8.7894736842105263","The Simpsons"
"9.0833333333333333","Belville"
"9.1666666666666667","Classic Basic"
"9.3500000000000000","Series 10 Minifigures"
"9.5789473684210526","Series 9 Minifigures"
"9.5789473684210526","The LEGO Movie Series"
"9.5789473684210526","Series 5 Minifigures"
"9.5833333333333333","Friends"
"9.7368421052631579","Series 3 Minifigures"
"9.7368421052631579","Series 1 Minifigures"
"9.7546296296296296","City"
"9.7894736842105263","Series 2 Minifigures"
"9.8421052631578947","Series 11 Minifigures"
"9.8854166666666667","Advent Sub-Set"
"10.0000000000000000","Series 4 Minifigures"
"10.1052631578947368","Series 6 Minifigures"
"10.1052631578947368","Series 13 Minifigures"
"10.2105263157894737","Series 12 Minifigures"
"10.2631578947368421","Series 7 Minifigures"
"10.2631578947368421","Series 8 Minifigures"
"11.0000000000000000","Team GB"
"11.0000000000000000","Jumbo Bricks"
"11.1260162601626016","Gear"
"11.2068965517241379","12V"
"12.3888888888888889","Creator"
"12.5000000000000000","Belville"
"12.8461538461538462","Scala"
"12.8888888888888889","Series 17 Minifigures"
"13.0625000000000000","Xalax"
"13.1428571428571429","Matoran of Light"
"13.6082474226804124","Star Wars"
