"c","n"
"Reddish Brown","The Hobbit"
"Black","Vehicles"
"Black","Matoran of Mahri Nui"
"Black","Res-Q"
"Red","Minitalia"
"Black","Black Knights"
"Dark Bluish Gray","Toy Story"
"White","Disney Princess"
"Reddish Brown","Jungle Rescue"
"Red","Duplo"
"Black","Jurassic Park III"
"Black","Model"
"Black","Books"
"Black","Throwbot Slizer"
"Black","Speedorz"
"Dark Bluish Gray","Matoran of Metru Nui"
"Black","Heroes"
"Black","RoboRiders"
"Black","Vahki"
"Black","Mission Deep Freeze"
"Yellow","Fabuland"
"Black","City"
"Dark Bluish Gray","Raiders of the Lost Ark"
"Yellow","Easter"
"Black","Adventurers"
"Light Bluish Gray","Modular Buildings"
"Dark Bluish Gray","Toa Hordika"
"Light Bluish Gray","Teenage Mutant Ninja Turtles"
"Black","Series 2"
"Light Gray","Dinosaurs"
"Black","Znap"
"Black","Xalax"
"Black","Chamber of Secrets"
"White","Boat"
"Yellow","Aquanauts"
"Light Bluish Gray","Star Wars Episode 1"
"Black","Spider-Man"
"White","Police"
"Black","The Hobbit"
"White","Legoland"
"Black","Spyrius"
"Light Bluish Gray","Planet Series 2"
"Black","Mars Mission"
"Light Gray","Time Cruisers"
"Black","Star Wars Expanded Universe"
"White","Sports"
"Black","Construction"
"Dark Bluish Gray","Trains"
"Blue","Ice Planet 2002"
"Light Gray","Sorcerer's Stone"
"Black","Spider-Man 2"
"Black","Vikings"
"Black","Series 12 Minifigures"
"Black","Planet Series 3"
"Black","Mistika"
"Black","Series 14 Minifigures"
"Black","Knights Kingdom II"
"Dark Bluish Gray","Star Wars Episode 7"
"Black","Mindstorms"
"Black","LEGO Brand Store"
"Black","NXT"
"Brown","Holiday"
"Light Bluish Gray","Other"
"Black","Insectoids"
"White","Homemaker"
"Reddish Brown","An Unexpected Journey"
"Black","Toa Nuva"
"Black","Series 9 Minifigures"
"Tan","Skylines"
"Black","Visorak"
"Black","Game"
"White","Promotional"
"Light Bluish Gray","Order of the Phoenix"
"Black","Series 11 Minifigures"
"White","Classic"
"Light Gray","Outback"
"Black","Farm"
"Light Gray","Lion Knights"
"White","Futuron"
"Black","4.5V"
"Black","Harry Potter"
"White","Learning"
"Black","Ninjago"
"Black","Ghostbusters"
"White","DFB Minifigures"
"Black","Justice League"
"Black","Dark Forest"
"Black","Series 4 Minifigures"
"White","Exploriens"
"Black","Toa Metru"
"Black","Desert"
"Black","Pirates II"
"Black","Speed Champions"
"Red","Basic Set"
"Black","Bionicle"
"Black","Service Packs"
"White","Building"
"Black","Series 8 Minifigures"
"Black","Hero Factory"
"Black","Iron Man"
"Light Gray","My Own Creation"
"Yellow","Freestyle"
"Black","LEGO Exclusive"
"Red","Basic"
"Black","Divers"
"Black","Planet Series 4"
"Black","Power Racers"
"Black","Galaxy Squad"
"Light Bluish Gray","Minecraft"
"Black","The Two Towers"
"Black","Pirates III"
"Black","Aquaraiders I"
"Light Gray","Model Team"
"Dark Bluish Gray","Kingdom of the Crystal Skull"
"Black","Glatorian Legends"
